DESCRIZIONE2,COUNTRY,Delta Ordini,Numero Macchine
RAISED S0900 L037 T POLIPROPILENE,TAIWAN R.O.C.,48829.71875,50.0
RAISED RIB S0900 L029 T,TAIWAN R.O.C.,33596.96875,50.0
RAISED RIB S0900 L037 T,TANZANIA,48791.2421875,23.0
RAISED RIB S0900 L055 T,TANZANIA,39608.0,23.0
RAISED RIB S0900 L029 T,TANZANIA,21382.48875,23.0
RAISED RIB S0900 L037 T,THAILAND,152476.96875,162.0
RAISED RIB S0900 L029 T,THAILAND,97558.48874999999,162.0
RAISED S0900 L037 T POLIPROPILENE,THAILAND,85436.96875,162.0
RAISED RIB S0900 L037 T,TRINIDAD AND TOBAGO,51816.0,4.0
RAISED RIB S0900 L055 T,TRINIDAD AND TOBAGO,9144.0,4.0
TRIGLASS 13x8 L684,TRINIDAD AND TOBAGO,850.0,4.0
RAISED RIB S0900 L029 T,TUNISIA,155492.9775,67.0
RAISED RIB S0900 L037 T,TUNISIA,82381.733125,67.0
RAISED RIB S0900 L055 T,TUNISIA,57896.0,67.0
RAISED RIB S0900 L029 T,TURKEY,219761.6146875,331.0
RAISED RIB S0900 L037 T,TURKEY,173881.95500000002,331.0
RAISED RIB S0900 L055 T,TURKEY,128110.48874999999,331.0
Al Ře44 L68,TURKMENISTAN,111.0,4.0
"IDRAULICO M20x1,5 M-08",TURKMENISTAN,108.0,4.0
PERNO,TURKMENISTAN,106.0,4.0
FLAT TOP S1000 L852,Tajikistan,17313.203125,4.0
TRIGLASS 13x8 L475,Tajikistan,3100.0,4.0
S1000 D79 Z16 F40x40,Tajikistan,91.0,4.0
"Al Ře25,56 L63,3",UGANDA,3219.0,7.0
QIR 400V 2500W,UGANDA,459.0,7.0
STEATITE 2P 22x18x19,UGANDA,242.0,7.0
